time_ms,adc,voltage,temperature_C
2000,45,0.22,21.83
3000,45,0.22,21.99
4000,46,0.22,22.48
5000,45,0.22,21.99
6000,45,0.22,21.99
7000,44,0.22,21.51
8000,45,0.22,21.99
9000,45,0.22,21.73
10000,46,0.22,22.48
11000,45,0.22,21.61
12000,45,0.22,21.72
13000,44,0.22,21.51
14000,45,0.22,21.40
15000,46,0.22,22.48
16000,45,0.22,21.60
17000,45,0.22,21.60
18000,45,0.22,21.53
19000,44,0.22,21.55
20000,45,0.22,21.52
21000,45,0.22,21.59
22000,46,0.22,22.80
23000,45,0.22,21.81
24000,45,0.22,21.77
25000,44,0.22,21.51
26000,45,0.22,21.99
27000,46,0.22,22.48
28000,45,0.22,21.99
29000,45,0.22,21.99
30000,45,0.22,21.99
31000,44,0.22,21.51
32000,45,0.22,21.99
33000,45,0.22,21.99
34000,46,0.22,22.48
35000,45,0.22,21.88
36000,45,0.22,21.83
37000,44,0.22,21.51
38000,45,0.22,21.93
39000,46,0.22,22.41
40000,45,0.22,21.95
41000,45,0.22,21.96
42000,45,0.22,21.90
43000,44,0.22,21.59
44000,45,0.22,21.92
45000,45,0.22,21.93
46000,46,0.22,22.44
47000,45,0.22,21.99
48000,45,0.22,21.99
49000,44,0.22,21.51
50000,45,0.22,21.99
51000,46,0.22,22.48
52000,45,0.22,21.99
53000,45,0.22,21.99
54000,45,0.22,21.99
55000,44,0.22,21.51
56000,45,0.22,21.99
57000,45,0.22,21.99
58000,46,0.22,22.48
59000,45,0.22,21.99
60000,45,0.22,21.99
61000,45,0.22,21.99
